ID,crowded,ring,efficacy,latency,precision,val,valGuessing,pLRtest
CC,Yes,0,0.900643408,-0.174956497,0.880236571,87.79106741,159.8189699,5.05E-31
CH,Yes,0,0.520105124,1.094244626,1.447639916,150.0087525,169.2069483,2.33E-08
CL,Yes,0,0.501344413,0.15096351,0.434602755,148.2615973,188.2730423,3.03E-17
LC1SONA,Yes,0,0.843191961,0.440624662,1.123978725,109.549513,166.080406,2.41E-24
RN,Yes,0,0.599045317,0.869887742,0.89065501,131.9418962,166.5460176,6.31E-15
WN,Yes,0,0.881915814,0.123048477,0.654676337,85.05542586,168.4368403,6.36E-36
CC,Bouma,0,0.930882279,-0.743075992,0.899701087,91.33871865,175.2852135,3.63E-36
CH,Bouma,0,0.572289682,-0.431848332,3,161.3792936,171.9360838,9.97E-05
CL,Bouma,0,0.636718204,0.165243036,0.958335943,119.0592782,152.7801871,1.51E-14
LC1SONA,Bouma,0,0.842774702,0.046015107,0.984558142,107.5514213,169.4807294,1.14E-26
RN,Bouma,0,0.779498697,0.483261698,1.182335841,122.9272374,171.7972154,4.76E-21
WN,Bouma,0,0.907430366,0.238984336,0.53562096,72.47846628,168.4368403,2.35E-41
CC,Yes,2,0.745746036,-0.767430021,1.559207797,134.4599868,170.077365,2.32E-15
CH,Yes,2,0.482133574,0.347093588,3,166.4760035,173.9788624,0.001811769
CL,Yes,2,0.451751108,0.863543352,0.993954608,158.3749789,178.6163956,8.42E-09
LC1SONA,Yes,2,0.61957358,0.026912857,1.49781982,135.4049711,159.9443291,1.26E-10
RN,Yes,2,0.710587079,-0.262731254,2.572800329,158.4734121,179.4068553,4.28E-09
WN,Yes,2,1,-0.805930453,2.070922068,112.1528434,165.9578684,3.59E-23
CC,Bouma,2,0.925764564,-1.257438999,1.429741128,116.9286532,181.8296613,5.97E-28
CH,Bouma,2,0,NA,NA,167.0815932,169.4740942,0.188234497
CL,Bouma,2,0.559710758,0.565709727,1.657869317,149.6562836,169.0512234,1.92E-08
LC1SONA,Bouma,2,0.579247856,0.052352464,1.814673433,158.9342541,178.982169,1.02E-08
RN,Bouma,2,0.924406464,-0.00569883,3,144.0932163,169.6785742,4.50E-11
WN,Bouma,2,0.815089675,-0.524083797,1.365620411,122.8629342,169.6204913,3.85E-20
CC,Yes,1,0.827684967,-0.088442315,1.315402983,123.2590508,175.7092378,1.37E-22
CH,Yes,1,0.160839206,0.652497072,0.141926721,161.7596967,168.5381608,0.003574703
CL,Yes,1,0.66044737,0.664530464,1.302274759,140.5282405,173.061584,4.85E-14
LC1SONA,Yes,1,0.570655778,0.280664498,0.894939252,140.8414786,173.2770612,5.34E-14
RN,Yes,1,0.855232216,0.393623451,2.438044354,133.1737483,162.8055172,8.44E-13
WN,Yes,1,0.948513684,0.105391757,0.976404021,91.51943024,174.7929475,7.08E-36
CC,Bouma,1,0.901822612,-0.945135551,0.625153209,74.91069434,158.9026795,3.47E-36
CH,Bouma,1,0,NA,NA,167.9276497,171.1541449,0.091535003
CL,Bouma,1,0.650358085,0.454671967,1.203558754,135.8988977,169.0641155,2.60E-14
LC1SONA,Bouma,1,0.689883524,0.209102365,1.147591807,137.273365,176.9540323,4.21E-17
RN,Bouma,1,0.62192049,-0.085061822,1.784559197,153.4738001,175.5634775,1.38E-09
WN,Bouma,1,0.8843074,0.06415152,1.084121769,105.9544306,172.3429362,1.36E-28
